Date,JYSOC_Open,JYSOC_High,JYSOC_Low,JYSOC_Close,JYSOC_SMAVG (50)  on Close,JYSOC_SMAVG (100)  on Close,JYSOC_SMAVG (200)  on Close,JYSO2_Open,JYSO2_High,JYSO2_Low,JYSO2_Close,JYSO2_SMAVG (50)  on Close,JYSO2_SMAVG (100)  on Close,JYSO2_SMAVG (200)  on Close,JYSO5_Open,JYSO5_High,JYSO5_Low,JYSO5_Close,JYSO5_SMAVG (50)  on Close,JYSO5_SMAVG (100)  on Close,JYSO5_SMAVG (200)  on Close,JYSO10_Open,JYSO10_High,JYSO10_Low,JYSO10_Close,JYSO10_SMAVG (50)  on Close,JYSO10_SMAVG (100)  on Close,JYSO10_SMAVG (200)  on Close,JYSO30_Open,JYSO30_High,JYSO30_Low,JYSO30_Close,JYSO30_SMAVG (50)  on Close,JYSO30_SMAVG (100)  on Close,JYSO30_SMAVG (200)  on Close
2024-05-21,0.11,0.112515,0.11,0.11125,0.089313,0.051437,0.012466,0.41125,0.42125,0.40875,0.41125,0.342982,0.285397,0.246931,0.6475,0.66125,0.639971,0.645,0.575395,0.530641,0.524701,1.02,1.027512,1.007475,1.01375,0.9375,0.904463,0.915251,1.7425,1.750028,1.69375,1.72125,1.610919,1.556509,1.541789
2024-05-22,0.11125,0.1165,0.111,0.1165,0.090623,0.052512,0.013305,0.4125,0.425024,0.411242,0.41875,0.346132,0.287672,0.248388,0.6475,0.679,0.644989,0.6575,0.57862,0.532703,0.525976,1.0175,1.048756,1.014995,1.03375,0.9405,0.90635,0.916395,1.7275,1.775,1.724996,1.75875,1.615569,1.559447,1.543783
2024-05-23,0.114375,0.118155,0.113734,0.115925,0.091922,0.053716,0.014141,0.42125,0.42625,0.412483,0.415,0.349157,0.289897,0.249819,0.6625,0.676266,0.647496,0.66875,0.581945,0.534941,0.527307,1.03875,1.045007,1.019991,1.0425,0.9434,0.908475,0.917608,1.765,1.772516,1.715,1.76125,1.620114,1.562459,1.545858
2024-05-24,0.115925,0.117885,0.114992,0.117885,0.093229,0.054958,0.014985,0.415,0.423762,0.414923,0.41875,0.352457,0.29236,0.251213,0.65375,0.68,0.653728,0.6675,0.585395,0.537391,0.528522,1.035,1.045,1.0295,1.04,0.9465,0.910763,0.918683,1.75,1.76002,1.72,1.75375,1.624314,1.565672,1.547542
2024-05-27,0.11625,0.121279,0.116197,0.12125,0.094534,0.056258,0.01586,0.41875,0.4275,0.4175,0.423755,0.355657,0.29486,0.252669,0.66125,0.67648,0.660702,0.6735,0.588915,0.539863,0.529853,1.03625,1.056383,1.03583,1.052,0.95039,0.913108,0.919912,1.74875,1.77375,1.748322,1.765005,1.630114,1.568947,1.549442
2024-05-28,0.121,0.123855,0.120977,0.12375,0.095559,0.057595,0.016748,0.42375,0.432,0.423497,0.430005,0.358637,0.297522,0.254125,0.673745,0.68625,0.67,0.68625,0.59244,0.542563,0.531177,1.05125,1.07017,1.047499,1.0675,0.95474,0.915745,0.921118,1.765035,1.78125,1.757498,1.77,1.636164,1.572435,1.551189
2024-05-29,0.12375,0.125022,0.122982,0.125,0.096607,0.058955,0.017648,0.43,0.452506,0.427497,0.45125,0.362262,0.300472,0.255688,0.68875,0.725002,0.688733,0.72375,0.597035,0.545725,0.532677,1.07625,1.117504,1.076224,1.115,0.96002,0.918908,0.922536,1.79875,1.813756,1.789998,1.81125,1.642429,1.576435,1.553139
2024-05-30,0.125,0.128165,0.12498,0.1275,0.097581,0.060345,0.018567,0.45,0.463,0.448744,0.4525,0.365049,0.303509,0.257275,0.71375,0.733802,0.703499,0.7075,0.60036,0.54885,0.534127,1.105,1.126312,1.073749,1.07875,0.964002,0.921858,0.923811,1.80375,1.828796,1.769997,1.77625,1.648265,1.580197,1.554914
2024-05-31,0.1275,0.1285,0.126895,0.128075,0.098567,0.061751,0.019488,0.4525,0.465047,0.452474,0.455,0.367774,0.306634,0.25888100000000003,0.706255,0.727512,0.704976,0.71625,0.603885,0.552275,0.535596,1.079995,1.1025,1.076224,1.088125,0.968314,0.925226,0.925108,1.779995,1.803771,1.776208,1.7875,1.654445,1.584335,1.556776
2024-06-03,0.1275,0.129,0.126911,0.127485,0.099542,0.063151,0.020407,0.46125,0.465,0.44875,0.452475,0.370474,0.309709,0.260475,0.72,0.7225,0.69874,0.70125,0.60704,0.555563,0.537015,1.09375,1.09625,1.069967,1.07375,0.972139,0.928476,0.926365,1.79625,1.798752,1.775,1.77875,1.65992,1.588572,1.558576
