Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2015-08-25,3.4,3.4,3.4,3.4,3.3931,3.7906,4.276,3.091,3.091,3.091,3.091,3.1479,3.4235,4.0868
2015-08-26,3.4,3.4,3.4,3.4,3.3931,3.7768,4.2683,3.0975,3.0975,3.0975,3.0975,3.1502,3.4056,4.0805
2015-08-27,3.4,3.4,3.4,3.4,3.3931,3.763,4.2606,3.096,3.096,3.096,3.096,3.1521,3.3879,4.0742
2015-08-28,3.4,3.4,3.4,3.4,3.3931,3.7492,4.2531,3.098,3.098,3.098,3.098,3.153,3.3706,4.0683
2015-08-31,3.401,3.401,3.401,3.401,3.3931,3.7354,4.2456,3.1,3.1,3.1,3.1,3.1529,3.3536,4.0625
2015-09-01,3.404,3.404,3.404,3.404,3.3932,3.7217,4.2382,3.1026,3.1026,3.1026,3.1026,3.1515,3.3368,4.0568
2015-09-02,3.401,3.401,3.401,3.401,3.3932,3.7079,4.2309,3.1026,3.1026,3.1026,3.1026,3.1494,3.3202,4.0513
2015-09-06,3.401,3.401,3.401,3.401,3.3932,3.6942,4.2236,3.104,3.104,3.104,3.104,3.1464,3.3037,4.0459
2015-09-07,3.401,3.401,3.401,3.401,3.3933,3.6804,4.2163,3.099,3.099,3.099,3.099,3.1429,3.2873,4.0405
2015-09-08,3.409,3.409,3.409,3.409,3.3936,3.6667,4.2091,3.095,3.095,3.095,3.095,3.1398,3.2711,4.0351
2015-09-09,3.4143,3.4143,3.4143,3.4143,3.394,3.6531,4.2019,3.092,3.092,3.092,3.092,3.137,3.2549,4.0296
2015-09-10,3.41,3.41,3.41,3.41,3.3945,3.6397,4.1949,3.093,3.093,3.093,3.093,3.1346,3.2397,4.0244
2015-09-11,3.411,3.411,3.411,3.411,3.395,3.6265,4.1882,3.097,3.097,3.097,3.097,3.1323,3.2259,4.0191
2015-09-14,3.411,3.411,3.411,3.411,3.3955,3.6137,4.1816,3.106,3.106,3.106,3.106,3.1304,3.2128,4.0138
2015-09-15,3.412,3.412,3.412,3.412,3.396,3.6011,4.1751,3.113,3.113,3.113,3.113,3.1286,3.2005,4.0085
2015-09-16,3.413,3.413,3.413,3.413,3.3965,3.5888,4.1686,3.116,3.116,3.116,3.116,3.1271,3.189,4.0032
2015-09-17,3.413,3.413,3.413,3.413,3.3971,3.5767,4.1623,3.1268,3.1268,3.1268,3.1268,3.1259,3.1786,3.998
2015-09-18,3.413,3.413,3.413,3.413,3.3976,3.5647,4.1559,3.1355,3.1355,3.1355,3.1355,3.1249,3.1692,3.9928
2015-09-21,3.413,3.413,3.413,3.413,3.3981,3.5529,4.1497,3.141,3.141,3.141,3.141,3.1242,3.1603,3.9875
2015-09-22,3.413,3.413,3.413,3.413,3.3986,3.5412,4.1434,3.1448,3.1448,3.1448,3.1448,3.1237,3.152,3.9823
2015-09-23,3.413,3.413,3.413,3.413,3.399,3.5297,4.1373,3.1468,3.1468,3.1468,3.1468,3.1233,3.1442,3.9769
2015-09-24,3.413,3.413,3.413,3.413,3.3995,3.5184,4.1311,3.1518,3.1518,3.1518,3.1518,3.1232,3.1369,3.9715
2015-09-25,3.413,3.413,3.413,3.413,3.3999,3.5072,4.125,3.153,3.153,3.153,3.153,3.1232,3.13,3.9661
2015-09-28,3.413,3.413,3.413,3.413,3.4003,3.4962,4.1188,3.152,3.152,3.152,3.152,3.1232,3.1233,3.9606
2015-09-29,3.413,3.413,3.413,3.413,3.4008,3.4853,4.1127,3.153,3.153,3.153,3.153,3.1232,3.1169,3.9548
2015-09-30,3.413,3.413,3.413,3.413,3.4012,3.4749,4.1065,3.153,3.153,3.153,3.153,3.1232,3.111,3.9489
2015-10-08,3.414,3.414,3.414,3.414,3.4017,3.4649,4.1003,3.1515,3.1515,3.1515,3.1515,3.1231,3.1057,3.9426
2015-10-09,3.414,3.414,3.414,3.414,3.4021,3.4552,4.0941,3.1585,3.1585,3.1585,3.1585,3.1231,3.101,3.9355
